,text_id,text,task_1,task_2,task_3
1403,hasoc_en_1404,This is what your country will soon look like if you EVER let in - in any wayFinance / joint ventures / land ownership / infrastructure or GYes they own HK but we got complacent while Britain had its year lease - this is no longer the we knew ! ,NOT,NONE,NONE
925,hasoc_en_926,We support doctors movement against violence .  Its time to show unity and fight for physical violence against doctors .  Lets come together and build a healthy patient - doctor relationship . ,NOT,NONE,NONE
3249,hasoc_en_3250,Said one con man to another,NOT,NONE,NONE
2502,hasoc_en_2503,What a cool idea !  Fuck Trump,HOF,PRFN,TIN
3131,hasoc_en_3132,She ' s lying like you ' ve trained her to . ,HOF,OFFN,TIN
5335,hasoc_en_5336,"Considering it  ( dick stains bday )  going around on social media ,  one would have to live under a rock to not know ,  due to social media .  .  .  I need to see a birth certificate to prove today is actually his bday .  . ",HOF,OFFN,TIN
1239,hasoc_en_1240,"The replies to this tweet illustrate the difference between Facebook and twitter in Tennessee .  also ,   . ",NOT,NONE,NONE
2586,hasoc_en_2587,Wow .  At least he ' s paying SOMEBODY ! ,NOT,NONE,NONE
5815,hasoc_en_5816,President Bankrupt is pulling us down with him .  .  .  . ,NOT,NONE,NONE
3633,hasoc_en_3634,liars .  liar .  liars .  need REAL protection not lip service from  . ,NOT,NONE,NONE
479,hasoc_en_480, .  has to establish a record of telling the truth .  MSM should never believe anything he says until then .  It ' s a safe bet that will never happen . ,NOT,NONE,NONE
459,hasoc_en_460,Is she wearing clothes ? ,NOT,NONE,NONE
349,hasoc_en_350,"Mum on Matt Hancock supporting Boris Johnson  '  ' I ' m not angry ,  I ' m just very disappointed '  ' ",NOT,NONE,NONE
4364,hasoc_en_4365,Deaths of a vast swath of the population due to the poisonous policies of the  . ,HOF,HATE,TIN
890,hasoc_en_891,Thanks for the memories,NOT,NONE,NONE
1522,hasoc_en_1523,Mass Murderer Yasin Malik has human rights but doctors don ' t have !  Save doctors of your state before crying for save democracy .  West Bengal want Freedom from  .  West Bengal want freedom from violence and political Terrorism . ,NOT,NONE,NONE
5029,hasoc_en_5030,It dates from But its a reminder that no one intelligent or caring would ever trust He did it his way then It will always be his way The amoral way,HOF,HATE,TIN
2140,hasoc_en_2141,Rain may dampen Star ' s plans to earn around cr from India - Pak WC match,NOT,NONE,NONE
1689,hasoc_en_1690,Hey creepy old fucker if you approach my daughter again youre gonna get punched in the throat ! ,HOF,PRFN,TIN
2176,hasoc_en_2177,Tandolker  :  a Biography  |  |   |  via,NOT,NONE,NONE
181,hasoc_en_182,FBI agents Struck and Paige were fired because they exercised freedom of speech speech,NOT,NONE,NONE
292,hasoc_en_293,The darkest worldcup  .  .  .  .  .  .  No fresh competition,NOT,NONE,NONE
322,hasoc_en_323,Trump is a piece of Well I was serving proudly he was playing Captain Bone Spurrs at Studio in NY Spending his Daddys money prowling for women like Ivanka And Melania The Purple heart he has he took from a veteran and stated that was the easy way to get it,HOF,OFFN,TIN
2270,hasoc_en_2271,This is stupidly crazy .  To think of leader might just prioritize a known political enemy nation over his country is so disgusting .  I cant wait for this nightmare to be done .  Our country deserve justice and ppm to defend it ! ,NOT,NONE,NONE
5528,hasoc_en_5529,"That ' s because is ,  was ,  and always will be racist .  He should NOT be where he is today .  He ' s such an idiot . ",HOF,OFFN,TIN
2605,hasoc_en_2606,Retweet this to give a big fuck you for his birthday . ,HOF,PRFN,TIN
2340,hasoc_en_2341,We ' re about to get our own trump,NOT,NONE,NONE
550,hasoc_en_551,Id take it was s response when asked if he would accept information against a political opponent from a foreign agent .  He incriminates himself on a daily basis . ,NOT,NONE,NONE
960,hasoc_en_961,"Doctors of JIPMER ,  Pondicherry stand with NRSMCH .  We are on a strike today so that such violence against doctors does not happen in the future . ",NOT,NONE,NONE
2743,hasoc_en_2744,"Shame on you  . The effort you kept on Dhoni gloves ,  Just keep  %  from it on your world cup schedule which is getting washed away . ",HOF,HATE,TIN
1290,hasoc_en_1291,Why is Ima Jewels Scam isn ' t a national news No big media house is covering this news on big level The people of have been cheated in this Fraud We hate selected media coverage,NOT,NONE,NONE
4317,hasoc_en_4318,Getting out of work in Times Square be like . ,HOF,PRFN,TIN
5454,hasoc_en_5455,Govt school adopted by IMA appointed unqualified teachers based on their investments,HOF,HATE,TIN
2421,hasoc_en_2422,"Personally ,  I say lets go the whole hog  &  get elected to PM .  Him  &  would be a bumbling comedy double act destroying lives  &  the planet but making great TV !  After all ,  it ' s not about policy ,  it ' s about personality  &  pandering to fear .  Fuck your kids future ! ",HOF,PRFN,TIN
405,hasoc_en_406,Resign now motherfucker ! ,HOF,PRFN,TIN
4595,hasoc_en_4596,Trumps Electoral Shenanigans Are Getting Worse,HOF,HATE,TIN
4944,hasoc_en_4945,Gotta love AnE on a Saturday morning .  .  . ,NOT,NONE,NONE
246,hasoc_en_247,from my childhood I didn ' t watched a rainy world cup session like this .  Waited years to watch this rainy cup will be shared by all the participant countries . ,NOT,NONE,NONE
2697,hasoc_en_2698,Brexit Boris Johnson,NOT,NONE,NONE
2053,hasoc_en_2054,Can ' t understand how darts comes before his children,NOT,NONE,NONE
3183,hasoc_en_3184,What a,HOF,PRFN,TIN
2859,hasoc_en_2860,"A PM is the king of the nation .  In olden days if any person equivalent to an MP would have uttered the same abuse thrown at Modi today in king ' s durbar  ,  his head would have rolled down on the ground .  The word uttered is to that proportion .  Pack and leave India .  \ n",HOF,HATE,UNT
1318,hasoc_en_1319," :  Despite - of the fact that didn ' t allowed Mr .  to wear those gloves ,  but this controversy gave full publicity to his cause .  You always rock  ! ",NOT,NONE,NONE
1702,hasoc_en_1703," .  just let people sit there and watch the footy ?  ?  ?  Yeah ,  so well ignore the behaviour the drove Goodesy out of the game just to make you feel more comfortable ? ",NOT,NONE,NONE
3095,hasoc_en_3096,No big surprise !  I wouldnt expect anything less !   ! ,NOT,NONE,NONE
2257,hasoc_en_2258,"A convicted killer ,  who went on the run for days ,  was caught by chance when police were called to a McDonalds drive - thru ,  a court has heard .  Read more",NOT,NONE,NONE
310,hasoc_en_311,I support,NOT,NONE,NONE
2071,hasoc_en_2072,Retweet if you have PayPal / CashApp and want me to send you money Must be following .  sugar daddy,NOT,NONE,NONE
4751,hasoc_en_4752,This is a load of  !  Your supporters are NOT smart .  .  . cause they still support YOU !  And this is NOT your approval rating ! ,HOF,HATE,TIN
3190,hasoc_en_3191, |  Do you support the protests of doctors seeking safety in hospitals ? ,NOT,NONE,NONE
2004,hasoc_en_2005,"How intelligent r Indians ,  they don ' t care missing army aircraft .  But discussing and struggling for Dhoni ' s gloves . ",NOT,NONE,NONE
4035,hasoc_en_4036,More like a serial Is he kidding me ?  So full of himself . ,HOF,HATE,TIN
874,hasoc_en_875,SAY NO,NOT,NONE,NONE
1048,hasoc_en_1049,Who else ?  ?  ?  ?  ?  Like .  .  .  if you as well,NOT,NONE,NONE
5580,hasoc_en_5581,Back - stabbing son of a bitch . ,HOF,HATE,TIN
72,hasoc_en_73,Top hashtags mentioning for  - 06 - 15  : 00 to  - 06 - 15  : 00 GMT + 0,NOT,NONE,NONE
716,hasoc_en_717,Is that a serious question ?  Bring on the because  ! ,NOT,NONE,NONE
4248,hasoc_en_4249,but there ' s just no point discussing it .  Save your eyes  & amp ;  ears .  It ' s not our choice .  This isn ' t democracy .  We have more say over who wins Eurovision .  Keep singing  & amp ;  dancing until the Gestapo knock the door . ,HOF,HATE,TIN
2882,hasoc_en_2883,these stinking A $  $ h [  display their frustration as modiji makes his way towards  .  .  people of India are watching,HOF,HATE,UNT
3414,hasoc_en_3415,"Indians do not have any connection with the logic in any way .  is a useless campaign .  Better sense should prevail .  Its a cricket game ,  play it with sportsmanship and dont try to be Chaudhary of cricket .  Adivce from Pakistan",NOT,NONE,NONE
5178,hasoc_en_5179,should hange within months .  Including all gang meber .  PMO India should rule this .  .  .   .  Requested to share this .  .  . ,NOT,NONE,NONE
2067,hasoc_en_2068,Have the worst birthday ever .  You deserve it . ,NOT,NONE,NONE
1550,hasoc_en_1551,Happy you fat piece of shit ! ,HOF,PRFN,TIN
5359,hasoc_en_5360,Okay so everyone is ignoring the fact that YNW melly is only years old and killed TWO people ?  ?  ?  ? ,HOF,OFFN,TIN
2527,hasoc_en_2528,Didt he do well,NOT,NONE,NONE
4512,hasoc_en_4513,i prefer,HOF,PRFN,TIN
2118,hasoc_en_2119,Such a hypocrite and liar you are Mr .  Selected PM  .  Why don ' t you accept you failed miserably in past months ?  Stop crying about past .  Show progress or go home .  You could not achieve any of your  - 2019 set goals . ,HOF,OFFN,TIN
4111,hasoc_en_4112,you sir are a,HOF,HATE,TIN
4292,hasoc_en_4293,Does THIS look like the face of a and traitor ? ,HOF,HATE,TIN
2514,hasoc_en_2515,So from next match onwards other countrys players will wear military and police logo of their country and then cricket will be a great war without balls and bats .  .  .  Totally disgusting,NOT,NONE,NONE
4609,hasoc_en_4610,There is a saying  .  .   ' Vinasha kaale viparita buddhi '  .  This applies to perfectly . ,HOF,HATE,TIN
4024,hasoc_en_4025,"Despite of her all heroics in the past .  . sadly mamta di will be remembered as an arrogant , ignorant , desperate and miss mayhem for all time to come . ",HOF,OFFN,TIN
2069,hasoc_en_2070,Thanks to Dhoni,NOT,NONE,NONE
3107,hasoc_en_3108,"Your profile discriprion is superb by heart ,  in contrast you are comfortable with the attack on doctors plus your soul is with so you are more worried about getting grounds in  . ",HOF,HATE,UNT
2610,hasoc_en_2611,against demanding  . ,NOT,NONE,NONE
4467,hasoc_en_4468,indian Hospitals .  .  .  . shame on you government of,NOT,NONE,NONE
1004,hasoc_en_1005,What rules you are referring ?  Rules of having namaz in the play ground ?  We can understand your feeling . ,HOF,HATE,TIN
235,hasoc_en_236,"Makes sense ,  which is tragic . ",NOT,NONE,NONE
4765,hasoc_en_4766,"The likes of Donald Trump ,  Mitch McConnell and Lindsey Graham are the lowest form of life and they are raping this country and trying to destroy democracy they must be stopped ! ",NOT,NONE,NONE
2466,hasoc_en_2467,"really shameful to use these words in parliament ,  again Modi ,  congi seats",NOT,NONE,NONE
1317,hasoc_en_1318,"Butterfly Curve SS Pressure Cooker ,  L Rs . 1570  ( mrp - 2359 )  More : ",NOT,NONE,NONE
3863,hasoc_en_3864,THE BIGGEST FAILURES OF TRUMPONOMICS .  .  . ,NOT,NONE,NONE
1366,hasoc_en_1367,This comments thread is a real  ' who ' s who '  of whote supremecy ! ,NOT,NONE,NONE
271,hasoc_en_272,Dear,NOT,NONE,NONE
1022,hasoc_en_1023,"So basically does not tell the truth .  Not only does he not tell the truth ,  he made promises that he came nowhere close to delivering and does not seem to care .  What is his motivation ?  It is unlikely to be your welfare . ",HOF,HATE,TIN
568,hasoc_en_569,We are very unfortunate to have this man as our PM . ,NOT,NONE,NONE
4299,hasoc_en_4300,"lets be fair .  EVERYONE mocked for this one .  anyone who is SO tribal they defended this gaffe is an utter cretin ,   ( and probably as well ) ",HOF,HATE,TIN
3613,hasoc_en_3614,Happy your brother day  ! ,NOT,NONE,NONE
1073,hasoc_en_1074,Some much needed clarification after unhinged comments yesterday .  FACT CHECK :  Foreign Interference And  ' Opposition Research '  Are Not The Same,NOT,NONE,NONE
1942,hasoc_en_1943,"Trump Needs a Target to Stay Interested in His Campaign .  For Now ,  Its Biden . ",NOT,NONE,NONE
828,hasoc_en_829,"While the ICC has shown its petty mindset the BCCI has shown that it is spineless .  All Indians including Dhoni should sport the symbol ,  maybe as a tattoo for the next match",NOT,NONE,NONE
3459,hasoc_en_3460,In my defence I do blame the local beer holy mother of Jesus it was strong  .  .  Because of the stoppage in the first half when the Ref blew for half time  .  .  I thought it was full Time and started heading out the ground,HOF,PRFN,UNT
5211,hasoc_en_5212,"power hungry little boy trying to please his Daddy too stupid to realize psychopath Putin played him .  Yup .  Donny IS a stupid ,  insecure ,  immature ,  greedy ,  angry ,  foolish LOSER oh .  .  .  and .  .  .  Happy Birthday ,  Mother Fucker . ",HOF,OFFN,TIN
376,hasoc_en_377,Swastikas are offensive to most civil people  .  .  . trumpturds disagree .  . ,NOT,NONE,NONE
1435,hasoc_en_1436,Is dhoni playing with that gloves,NOT,NONE,NONE
1736,hasoc_en_1737,demand the cctv footage of that day things will be clear  . Make public the name of accuse who have been arrested .  Enquiry should be set up into reluctance of police  . How two trucks of goon were allowed inside the hospital campus,NOT,NONE,NONE
170,hasoc_en_171,Ex army men  & amp ;  Tory MPs Rory Stewart  & amp ;  Tobias Ellewood shudder at the thought of Boris as Pm in the year of the th anniversary of Dday .  I wonder why ! ,NOT,NONE,NONE
703,hasoc_en_704,Thats why Im saying give the management to ji he can manage anything For full video click - ,NOT,NONE,NONE
1326,hasoc_en_1327,Swamiji when we will get money from and when you will show good gestures to people who lost money .  In biggest scam .   .  Your good friends are involved hence ? Can you give to CBI investigation ?  IF YOU R TRUE KANNADIGA ? ,NOT,NONE,NONE
2,hasoc_en_3,Guess who would be the winner of this  ?  Team who gets maximum points from the abandoned matches,NOT,NONE,NONE
852,hasoc_en_853,Boris Johnsons no - deal Brexit plan will trigger early election Top Tories say attempt to appease hardliners means coalition of support for his leadership bid will not survive the autumn,NOT,NONE,NONE
3460,hasoc_en_3461,Screw and bring back Joe Crain !  ! ,HOF,PRFN,TIN
799,hasoc_en_800,You referring to the the,NOT,NONE,NONE
3503,hasoc_en_3504,"My cartoon Friday on  ( well ,  there were seven when I drew it !  )   ( nor any of them ) ",NOT,NONE,NONE
1097,hasoc_en_1098,should hold famous indian  ' Denga Pani '  world cup in this weather rather than,NOT,NONE,NONE
2640,hasoc_en_2641,Well done Love forever .  .  Keep it up . ,NOT,NONE,NONE
5644,hasoc_en_5645,"If all remaining get washed  :  NZ  -  Ind  -  Eng  -  Aus  -  WI  -  SL  -  Pak  -  Bang  -  SA  -  Afg  -  Semi Final Aus vs NZ  ( If rain continues )  ,  NZ Eng vs Ind  ( If rain continues )  ,  Ind Final Ind vs NZ  ( If rain continues )  ,  India - NZ will win jointly  . ",HOF,HATE,TIN
2981,hasoc_en_2982,Being an Lieutenant Colonel there is nothing wrong in having that on his gloves,NOT,NONE,NONE
4754,hasoc_en_4755,Worst world cup series ever had .  never ever try to organize world cup series again . ,HOF,HATE,TIN
5682,hasoc_en_5683,More ripping families apart for political reasons .  This is outrageous,HOF,HATE,TIN
4964,hasoc_en_4965,DO NOT This Because DOESN ' T Want You To Nail His Coffin with Evidence,HOF,HATE,TIN
2591,hasoc_en_2592,"Dear ICC , This Is The World Cup Not A Gully Cricket , Please Focus On The Issues Like Poor Umpiring  & amp ;  Sledging Of Players .  , Instead Of Dhoni To Remove His Gloves With A Sign Of BALIDAAN Which Is The Motto Of Indian Para Forces",NOT,NONE,NONE
4381,hasoc_en_4382,You are the wrong person to make any deals with any country Traitor . ,NOT,NONE,NONE
2160,hasoc_en_2161,has no problem with the entire Pakistan cricket team marking territory by praying on the cricket field  ( part of Muslim ritual prayer )  but find insignia on  ' s gloves inappropriate . ,NOT,NONE,NONE
2808,hasoc_en_2809,"Personally ,  I do not like Trump ' s persona ,  but I don ' t throw the baby out with the bath water .  He is much better for the than the is EVIL personified ;  she and her husband should be in PRISON ! ",HOF,HATE,TIN
3778,hasoc_en_3779,Dear Drs and Non Medico Friends Please Keep twitting about WB Doctors plight with and tag  .  As its weekend dont allow the movement to weaken .  It has to reach higher authority to take strong action . ,NOT,NONE,NONE
1999,hasoc_en_2000,Fails Hugely . 47 Million Americans Are Evidence,NOT,NONE,NONE
84,hasoc_en_85,What ' s wrong with  ?  ?  Dhoni is first a soldier then a cricketer .  .  .  .  . ,NOT,NONE,NONE
1531,hasoc_en_1532,every single Indian who r going to watch in stadium .  .  . plz take army insignia with you,NOT,NONE,NONE
2158,hasoc_en_2159,Former Trump advisor George Nader ordered jailed until his child porn trial,NOT,NONE,NONE
804,hasoc_en_805,"after wrong decision for dhoni s gloves now , me n , my friends boycott and all cricjeting events now , we leave watchin cricket",NOT,NONE,NONE
1895,hasoc_en_1896,Please dont . ,NOT,NONE,NONE
3658,hasoc_en_3659,Disappointing !  !  Years of planning and yet they failed in organising the world ' s most important cricket event !  !  Shouldn ' t have held the event in this season !  ! ,NOT,NONE,NONE
2223,hasoc_en_2224,I have never ever seen this kind of world cup .  u should have done better plan . Atleast u can look after the ground by covering complete ground .  U should learn from BCCI management,NOT,NONE,NONE
1738,hasoc_en_1739,"In real life ,  every congressman colludes with foreign powers all the time .  So whatever I did is ok .  Coz real life . ",NOT,NONE,NONE
1976,hasoc_en_1977,"I ' m really wondering when will finally eat that  ?  Stroke or heart attack ,  either way is OK with me .  The would finally be over . ",NOT,NONE,NONE
4985,hasoc_en_4986,Like father like sons . ,HOF,PRFN,UNT
3558,hasoc_en_3559,dhoni fans to icc,NOT,NONE,NONE
1415,hasoc_en_1416,Yes dhoni Bhai you will keep the gloves because you are in army and you giving respect to army what is the matter,NOT,NONE,NONE
3280,hasoc_en_3281,He should have received the death penalty as did his victim . ,NOT,NONE,NONE
1081,hasoc_en_1082,Every person who is attending next match of Indian team vs australia should wear a t shirt or clothing with balidaan insignia printed on it .  That would be good response to ICC . ,NOT,NONE,NONE
2907,hasoc_en_2908,"Highly shameful ,  for everything ,  and for all wrong doings still there are idiots coming to debate still maintaining their stand .  Are you really humans .  I won ' t be surprised to know that you will be Cannibals .   \ n",HOF,HATE,TIN
2312,hasoc_en_2313,"the weather we cannnot control ,  investment in covers you can .  .  .  .  .  as for some of the ticket prices truly shocking .  Like the Champions trophy last year you would rather have stack of empty Corporate seats than a stadium full of excited fans .  pound for Eng Bangla",NOT,NONE,NONE
3822,hasoc_en_3823,"Until this goes into circulation ,  and it will t - minus - t ,  I ' m using a stamp I found on Etsy .  Cuz",NOT,NONE,NONE
4497,hasoc_en_4498,Can someone please pull the insane a $  $ clown OFF the flag .  .  .  hes desecrating it !  Also : ,HOF,HATE,UNT
862,hasoc_en_863,Doesnt Mitch have his own issues ?  Conflicts of interest Time for,NOT,NONE,NONE
3262,hasoc_en_3263,"simply put ,  trump doesn ' t give a fatflyingfuck about our national security .  he ' s oblivious to the fact that his actions ,  and / or lack of ,  have put in peril every person on the planet ,  all to feed his ego fantasy of being king of the world . ",HOF,PRFN,TIN
126,hasoc_en_127,"to BCCI :  :  Sorry we cant allow Ms Dhoni to keep the Army Gloves .  reply :  :  Salaam thok ,  Sar Jhuka ,  Tu dum daba ,  Chal Rasta naap le .  . ",NOT,NONE,NONE
2731,hasoc_en_2732,see India vs pak is also gone .  .  .  .  .  Fuck off Worst World Cup series .  .  . ,HOF,PRFN,TIN
1904,hasoc_en_1905,"still dodging every question .  Clearly so much still to hide  ,  from such a proven lier .  Worse most incompetent foreign secretary in modern history .  And the architect of a criminaly ill - conceived disaster .  take over complete . ",NOT,NONE,NONE
2984,hasoc_en_2985,urges  ' s proactiveness to prevent washouts in,NOT,NONE,NONE
3984,hasoc_en_3985,Islam in mission from,HOF,HATE,UNT
2829,hasoc_en_2830,The damning allegations against that he sexually assaulted women could jeopardized his re - election campaign .  Im no stranger to accountability but has crossed the line on and its going to stop  !   \ n \ n,HOF,HATE,TIN
2120,hasoc_en_2121,India is about times bigger than United Kingdom .  While UK spends  %  on health  ( and still underfunded )  India spends a mere  %  of it ' s GDP amd blames doctors for everything that ' s wrong in the system . ,NOT,NONE,NONE
3361,hasoc_en_3362,"Trump ,  Forgetting Jonah Incident ,  Admits To Talks With Prince Of Whales",NOT,NONE,NONE
4947,hasoc_en_4948,Boris trump God help us,HOF,HATE,TIN
2277,hasoc_en_2278,"There is gonna be ever .  Hell ,  deserves no praise of any sort since he ' s a fraud and a FAILURE . ",HOF,OFFN,TIN
1820,hasoc_en_1821,For me its greed of those congress MLAs .  .  . who joined corrupt friendly in dream of free - taxpayers money .  .  !  Never imagined this too a way to,NOT,NONE,NONE
5765,hasoc_en_5766,is anything but a  ' man '  .  What he IS is a and a  .  this  .  Continued,HOF,OFFN,TIN
532,hasoc_en_533,It was decided have fix working hours but still we r forced work inhumanly . ,NOT,NONE,NONE
3270,hasoc_en_3271,"Today at the bank an old lady asked me to help check her balance .  .  .  So I pushed her over .  These are my dogs ,  Sophie and Maggie . ",NOT,NONE,NONE
5575,hasoc_en_5576,"I don ' t know of too many people who need to bc they never followed him in the first place ,  so may I suggest adding to the equation ?  And when he tweets something idiotic use screencap instead of RT .  .  . don ' t give him that satisfaction bc",HOF,HATE,TIN
3426,hasoc_en_3427,Just more lies from the Putin - installed,HOF,OFFN,TIN
4657,hasoc_en_4658,what can possibly go wrong with someone wearing a glove with a logo which means nothing to you but everything to the player what would have happened if he had a tattoo of the same  .  .  what u would have done  .  .  enjoy the game and stop being kejriwal,HOF,HATE,TIN
669,hasoc_en_670,We stand with dhoni infact India stand with him . ,NOT,NONE,NONE
5581,hasoc_en_5582,My advice to and Patriots RT .  .  .  Let ' s make it happen,HOF,HATE,TIN
3023,hasoc_en_3024,"The doctors of India ( WB )  are not asking something out of the world .  Safety ,  it ' s a basic right of an individual .  Moreover ,  our doctors are renowned all over the world .  So what message are you sending ?  ?  We stand with our saviours in the hour of need . ",NOT,NONE,NONE
5666,hasoc_en_5667,Why are they covers for the entire field .  Cant you spend some money now and make sure the whole ground is covered .  And be flexible with the timings . ,HOF,HATE,TIN
154,hasoc_en_155,No lawmakers with any guts ? ,NOT,NONE,NONE
4010,hasoc_en_4011,Yeah fake rape cases should be stopped but Asaram should ' t be released .  He is a danger to the society .  He does Brain wash of people and can create chaos in future . ,HOF,HATE,TIN
4898,hasoc_en_4899,MSB (  )  is snapping his fingers at you . ,HOF,HATE,TIN
4446,hasoc_en_4447,I just can ' t wrap my brain around the fact that shit has gotten this far .  and the whole,NOT,NONE,NONE
1980,hasoc_en_1981,Shocking crime on Xmas day .  .  . ,NOT,NONE,NONE
3918,hasoc_en_3919,Claims His Own Polls Are Fake And He Is Winning In Every State,NOT,NONE,NONE
454,hasoc_en_455,"Hes also lied ,  cheated ,  committed crimes against America ,  broken emoluments laws ,  nepotism ,  spread his corruption ,  conspired with Russia ,  and banked millions of our tax dollars while you dumbf *  * ks cheer  - You have become his accomplices",HOF,OFFN,TIN
2068,hasoc_en_2069,"aka :   ,  on here is an authentic TIME magazine cover . ",NOT,NONE,NONE
4178,hasoc_en_4179,Pic  -  icc on Ms Dhoni gloves .  Vs Pic  -  icc planning world cup . ,HOF,HATE,TIN
541,hasoc_en_542,This is no longer optional we must all stand to stop,NOT,NONE,NONE
